Relative_Density_60F,Long_Tons_per_1000_US_Gallons_60F,Long_Tons_per_Barrel_60F
0.654,2.43,0.10206
0.655,2.4337,0.10222
0.656,2.4374,0.10237
0.657,2.4411,0.10253
0.658,2.4449,0.10268
0.659,2.4486,0.10284
0.66,2.4523,0.103
0.661,2.456,0.10315
0.662,2.4598,0.10331
0.663,2.4635,0.10347
0.664,2.4672,0.10362
0.665,2.4709,0.10378
0.666,2.4746,0.10393
0.667,2.4784,0.10409
0.668,2.4821,0.10425
0.669,2.4858,0.1044
0.67,2.4895,0.10456
0.671,2.4933,0.10472
0.672,2.497,0.10487
0.673,2.5007,0.10503
0.674,2.5044,0.10519
0.675,2.5081,0.10534
0.676,2.5119,0.1055
0.677,2.5156,0.10565
0.678,2.5193,0.10581
0.679,2.523,0.10597
0.68,2.5268,0.10612
0.681,2.5305,0.10628
0.682,2.5342,0.10644
0.683,2.5379,0.10659
0.684,2.5416,0.10675
0.685,2.5454,0.10691
0.686,2.5491,0.10706
0.687,2.5528,0.10722
0.688,2.5565,0.10737
0.689,2.5603,0.10753
0.69,2.564,0.10769
0.691,2.5677,0.10784
0.692,2.5714,0.108
0.693,2.5751,0.10816
0.694,2.5789,0.10831
0.695,2.5826,0.10847
0.696,2.5863,0.10863
0.697,2.59,0.10878
0.698,2.5938,0.10894
0.699,2.5975,0.10909
0.7,2.6012,0.10925
0.701,2.6049,0.10941
0.702,2.6086,0.10956
0.703,2.6124,0.10972
0.704,2.6161,0.10988
0.705,2.6198,0.11003
0.706,2.6235,0.11019
0.707,2.6273,0.11035
0.708,2.631,0.1105
0.709,2.6347,0.11066
0.71,2.6384,0.11081
0.711,2.6422,0.11097
0.712,2.6459,0.11113
0.713,2.6496,0.11128
0.714,2.6533,0.11144
0.715,2.657,0.1116
0.716,2.6608,0.11175
0.717,2.6645,0.11191
0.718,2.6682,0.11206
0.719,2.6719,0.11222
0.72,2.6757,0.11238
0.721,2.6794,0.11253
0.722,2.6831,0.11269
0.723,2.6868,0.11285
0.724,2.6905,0.113
0.725,2.6943,0.11316
0.726,2.698,0.11332
0.727,2.7017,0.11347
0.728,2.7054,0.11363
0.729,2.7092,0.11378
0.73,2.7129,0.11394
0.731,2.7166,0.1141
0.732,2.7203,0.11425
0.733,2.724,0.11441
0.734,2.7278,0.11457
0.735,2.7315,0.11472
0.736,2.7352,0.11488
0.737,2.7389,0.11504
0.738,2.7427,0.11519
0.739,2.7464,0.11535
0.74,2.7501,0.1155
0.741,2.7538,0.11566
0.742,2.7575,0.11582
0.743,2.7613,0.11597
0.744,2.765,0.11613
0.745,2.7687,0.11629
0.746,2.7724,0.11644
0.747,2.7762,0.1166
0.748,2.7799,0.11676
0.749,2.7836,0.11691
0.75,2.7873,0.11707
0.751,2.7911,0.11722
0.752,2.7948,0.11738
0.753,2.7985,0.11754
0.754,2.8022,0.11769
0.755,2.8059,0.11785
0.756,2.8097,0.11801
0.757,2.8134,0.11816
0.758,2.8171,0.11832
0.759,2.8208,0.11847
0.76,2.8246,0.11863
0.761,2.8283,0.11879
0.762,2.832,0.11894
0.763,2.8357,0.1191
0.764,2.8394,0.11926
0.765,2.8432,0.11941
0.766,2.8469,0.11957
0.767,2.8506,0.11973
0.768,2.8543,0.11988
0.769,2.8581,0.12004
0.77,2.8618,0.12019
0.771,2.8655,0.12035
0.772,2.8692,0.12051
0.773,2.8729,0.12066
0.774,2.8767,0.12082
0.775,2.8804,0.12098
0.776,2.8841,0.12113
0.777,2.8878,0.12129
0.778,2.8916,0.12145
0.779,2.8953,0.1216
0.78,2.899,0.12176
0.781,2.9027,0.12191
0.782,2.9064,0.12207
0.783,2.9102,0.12223
0.784,2.9139,0.12238
0.785,2.9176,0.12254
0.786,2.9213,0.1227
0.787,2.9251,0.12285
0.788,2.9288,0.12301
0.789,2.9325,0.12317
0.79,2.9362,0.12332
0.791,2.94,0.12348
0.792,2.9437,0.12363
0.793,2.9474,0.12379
0.794,2.9511,0.12395
0.795,2.9548,0.1241
0.796,2.9586,0.12426
0.797,2.9623,0.12442
0.798,2.966,0.12457
0.799,2.9697,0.12473
0.8,2.9735,0.12489
0.801,2.9772,0.12504
0.802,2.9809,0.1252
0.803,2.9846,0.12535
0.804,2.9883,0.12551
0.805,2.9921,0.12567
0.806,2.9958,0.12582
0.807,2.9995,0.12598
0.808,3.0032,0.12614
0.809,3.007,0.12629
0.81,3.0107,0.12645
0.811,3.0144,0.1266
0.812,3.0181,0.12676
0.813,3.0218,0.12692
0.814,3.0256,0.12707
0.815,3.0293,0.12723
0.816,3.033,0.12739
0.817,3.0367,0.12754
0.818,3.0405,0.1277
0.819,3.0442,0.12786
0.82,3.0479,0.12801
0.821,3.0516,0.12817
0.822,3.0553,0.12832
0.823,3.0591,0.12848
0.824,3.0628,0.12864
0.825,3.0665,0.12879
0.826,3.0702,0.12895
0.827,3.074,0.12911
0.828,3.0777,0.12926
0.829,3.0814,0.12942
0.83,3.0851,0.12958
0.831,3.0889,0.12973
0.832,3.0926,0.12989
0.833,3.0963,0.13004
0.834,3.1,0.1302
0.835,3.1037,0.13036
0.836,3.1075,0.13051
0.837,3.1112,0.13067
0.838,3.1149,0.13083
0.839,3.1186,0.13098
0.84,3.1224,0.13114
0.841,3.1261,0.1313
0.842,3.1298,0.13145
0.843,3.1335,0.13161
0.844,3.1372,0.13176
0.845,3.141,0.13192
0.846,3.1447,0.13208
0.847,3.1484,0.13223
