Relative_Density_60F,Cubic_Meters_per_Short_Ton_60F,Cubic_Meters_per_Long_Ton_60F
0.654,1.3897,1.5565
0.655,1.3876,1.5541
0.656,1.3855,1.5518
0.657,1.3834,1.5494
0.658,1.3813,1.5471
0.659,1.3792,1.5447
0.66,1.3771,1.5424
0.661,1.375,1.54
0.662,1.3729,1.5377
0.663,1.3709,1.5354
0.664,1.3688,1.5331
0.665,1.3667,1.5308
0.666,1.3647,1.5285
0.667,1.3626,1.5262
0.668,1.3606,1.5239
0.669,1.3586,1.5216
0.67,1.3565,1.5193
0.671,1.3545,1.5171
0.672,1.3525,1.5148
0.673,1.3505,1.5125
0.674,1.3485,1.5103
0.675,1.3465,1.5081
0.676,1.3445,1.5058
0.677,1.3425,1.5036
0.678,1.3405,1.5014
0.679,1.3386,1.4992
0.68,1.3366,1.497
0.681,1.3346,1.4948
0.682,1.3327,1.4926
0.683,1.3307,1.4904
0.684,1.3288,1.4882
0.685,1.3268,1.486
0.686,1.3249,1.4839
0.687,1.323,1.4817
0.688,1.321,1.4796
0.689,1.3191,1.4774
0.69,1.3172,1.4753
0.691,1.3153,1.4731
0.692,1.3134,1.471
0.693,1.3115,1.4689
0.694,1.3096,1.4668
0.695,1.3077,1.4646
0.696,1.3058,1.4625
0.697,1.304,1.4604
0.698,1.3021,1.4583
0.699,1.3002,1.4563
0.7,1.2984,1.4542
0.701,1.2965,1.4521
0.702,1.2947,1.45
0.703,1.2928,1.448
0.704,1.291,1.4459
0.705,1.2892,1.4439
0.706,1.2873,1.4418
0.707,1.2855,1.4398
0.708,1.2837,1.4377
0.709,1.2819,1.4357
0.71,1.2801,1.4337
0.711,1.2783,1.4317
0.712,1.2765,1.4297
0.713,1.2747,1.4276
0.714,1.2729,1.4256
0.715,1.2711,1.4236
0.716,1.2693,1.4217
0.717,1.2676,1.4197
0.718,1.2658,1.4177
0.719,1.264,1.4157
0.72,1.2623,1.4138
0.721,1.2605,1.4118
0.722,1.2588,1.4098
0.723,1.257,1.4079
0.724,1.2553,1.4059
0.725,1.2536,1.404
0.726,1.2518,1.4021
0.727,1.2501,1.4001
0.728,1.2484,1.3982
0.729,1.2467,1.3963
0.73,1.245,1.3944
0.731,1.2433,1.3925
0.732,1.2416,1.3906
