API_Gravity_60F,Tonnes_per_1000_US_Gallons_60F,Tonnes_per_Barrel_60F
0.0,4.0652,0.17074
0.1,4.0621,0.17061
0.2,4.0591,0.17048
0.3,4.056,0.17035
0.4,4.0529,0.17022
0.5,4.0498,0.17009
0.6,4.0467,0.16996
0.7,4.0437,0.16983
0.8,4.0406,0.16971
0.9,4.0376,0.16958
1.0,4.0345,0.16945
1.1,4.0315,0.16932
1.2,4.0284,0.16919
1.3,4.0254,0.16907
1.4,4.0224,0.16894
1.5,4.0193,0.16881
1.6,4.0163,0.16869
1.7,4.0133,0.16856
1.8,4.0103,0.16843
1.9,4.0073,0.16831
2.0,4.0043,0.16818
2.1,4.0013,0.16805
2.2,3.9983,0.16793
2.3,3.9953,0.1678
2.4,3.9923,0.16768
2.5,3.9893,0.16755
2.6,3.9863,0.16743
2.7,3.9834,0.1673
2.8,3.9804,0.16718
2.9,3.9774,0.16705
3.0,3.9745,0.16693
3.1,3.9715,0.1668
3.2,3.9685,0.16668
3.3,3.9656,0.16656
3.4,3.9627,0.16643
3.5,3.9597,0.16631
3.6,3.9568,0.16618
3.7,3.9539,0.16606
3.8,3.9509,0.16594
3.9,3.948,0.16582
4.0,3.9451,0.16569
4.1,3.9422,0.16557
4.2,3.9393,0.16545
4.3,3.9364,0.16533
4.4,3.9335,0.16521
4.5,3.9306,0.16508
4.6,3.9277,0.16496
4.7,3.9248,0.16484
4.8,3.9219,0.16472
4.9,3.919,0.1646
5.0,3.9162,0.16448
5.1,3.9133,0.16436
5.2,3.9104,0.16424
5.3,3.9076,0.16412
5.4,3.9047,0.164
5.5,3.9018,0.16388
5.6,3.899,0.16376
5.7,3.8962,0.16364
5.8,3.8933,0.16352
5.9,3.8905,0.1634
6.0,3.8876,0.16328
6.1,3.8848,0.16316
6.2,3.882,0.16304
6.3,3.8792,0.16293
6.4,3.8764,0.16281
6.5,3.8735,0.16269
6.6,3.8707,0.16257
6.7,3.8679,0.16245
6.8,3.8651,0.16234
6.9,3.8623,0.16222
7.0,3.8595,0.1621
7.1,3.8568,0.16198
7.2,3.854,0.16187
7.3,3.8512,0.16175
7.4,3.8484,0.16163
7.5,3.8456,0.16152
7.6,3.8429,0.1614
7.7,3.8401,0.16128
7.8,3.8373,0.16117
7.9,3.8346,0.16105
8.0,3.8318,0.16094
8.1,3.8291,0.16082
8.2,3.8263,0.16071
8.3,3.8236,0.16059
8.4,3.8209,0.16048
8.5,3.8181,0.16036
8.6,3.8154,0.16025
8.7,3.8127,0.16013
8.8,3.81,0.16002
8.9,3.8072,0.1599
9.0,3.8045,0.15979
9.1,3.8018,0.15968
9.2,3.7991,0.15956
9.3,3.7964,0.15945
9.4,3.7937,0.15934
9.5,3.791,0.15922
9.6,3.7883,0.15911
9.7,3.7856,0.159
9.8,3.783,0.15888
9.9,3.7803,0.15877
10.0,3.7776,0.15866
10.1,3.7749,0.15855
10.2,3.7723,0.15844
10.3,3.7696,0.15832
10.4,3.767,0.15821
10.5,3.7643,0.1581
10.6,3.7616,0.15799
10.7,3.759,0.15788
10.8,3.7563,0.15777
10.9,3.7537,0.15766
11.0,3.7511,0.15754
11.1,3.7484,0.15743
11.2,3.7458,0.15732
11.3,3.7432,0.15721
11.4,3.7406,0.1571
11.5,3.7379,0.15699
11.6,3.7353,0.15688
11.7,3.7327,0.15677
11.8,3.7301,0.15666
11.9,3.7275,0.15655
12.0,3.7249,0.15645
12.1,3.7223,0.15634
12.2,3.7197,0.15623
12.3,3.7171,0.15612
12.4,3.7145,0.15601
12.5,3.7119,0.1559
12.6,3.7094,0.15579
12.7,3.7068,0.15569
12.8,3.7042,0.15558
12.9,3.7017,0.15547
13.0,3.6991,0.15536
13.1,3.6965,0.15525
13.2,3.694,0.15515
13.3,3.6914,0.15504
13.4,3.6889,0.15493
13.5,3.6863,0.15483
13.6,3.6838,0.15472
13.7,3.6812,0.15461
13.8,3.6787,0.15451
13.9,3.6762,0.1544
14.0,3.6736,0.15429
14.1,3.6711,0.15419
14.2,3.6686,0.15408
14.3,3.6661,0.15397
14.4,3.6635,0.15387
14.5,3.661,0.15376
14.6,3.6585,0.15366
14.7,3.656,0.15355
14.8,3.6535,0.15345
14.9,3.651,0.15334
15.0,3.6485,0.15324
15.1,3.646,0.15313
15.2,3.6435,0.15303
15.3,3.6411,0.15292
15.4,3.6386,0.15282
15.5,3.6361,0.15272
15.6,3.6336,0.15261
15.7,3.6312,0.15251
15.8,3.6287,0.1524
15.9,3.6262,0.1523
16.0,3.6238,0.1522
16.1,3.6213,0.15209
16.2,3.6188,0.15199
16.3,3.6164,0.15189
16.4,3.6139,0.15179
16.5,3.6115,0.15168
16.6,3.6091,0.15158
16.7,3.6066,0.15148
16.8,3.6042,0.15138
16.9,3.6018,0.15127
17.0,3.5993,0.15117
17.1,3.5969,0.15107
17.2,3.5945,0.15097
17.3,3.5921,0.15087
17.4,3.5896,0.15077
17.5,3.5872,0.15066
17.6,3.5848,0.15056
17.7,3.5824,0.15046
17.8,3.58,0.15036
17.9,3.5776,0.15026
18.0,3.5752,0.15016
18.1,3.5728,0.15006
18.2,3.5704,0.14996
18.3,3.5681,0.14986
18.4,3.5657,0.14976
18.5,3.5633,0.14966
18.6,3.5609,0.14956
18.7,3.5585,0.14946
18.8,3.5562,0.14936
