Tonnes_per_Barrel_60F,API_Gravity_60F
0.10363,85.0
0.10368,84.9
0.10373,84.8
0.10377,84.7
0.10382,84.6
0.10387,84.5
0.10392,84.4
0.10397,84.3
0.10401,84.2
0.10406,84.1
0.10411,84.0
0.10416,83.9
0.10421,83.8
0.10426,83.7
0.10431,83.6
0.10435,83.5
0.1044,83.4
0.10445,83.3
0.1045,83.2
0.10455,83.1
0.1046,83.0
0.10465,82.9
0.1047,82.8
0.10474,82.7
0.10479,82.6
0.10484,82.5
0.10489,82.4
0.10494,82.3
0.10499,82.2
0.10504,82.1
0.10509,82.0
0.10514,81.9
0.10519,81.8
0.10524,81.7
0.10529,81.6
0.10534,81.5
0.10539,81.4
0.10543,81.3
0.10548,81.2
0.10553,81.1
0.10558,81.0
0.10563,80.9
0.10568,80.8
0.10573,80.7
0.10578,80.6
0.10583,80.5
0.10588,80.4
0.10593,80.3
0.10598,80.2
0.10603,80.1
0.10608,80.0
0.10613,79.9
0.10618,79.8
0.10624,79.7
0.10629,79.6
0.10634,79.5
0.10639,79.4
0.10644,79.3
0.10649,79.2
0.10654,79.1
0.10659,79.0
0.10664,78.9
0.10669,78.8
0.10674,78.7
0.10679,78.6
0.10684,78.5
0.10689,78.4
0.10695,78.3
0.107,78.2
0.10705,78.1
0.1071,78.0
0.10715,77.9
0.1072,77.8
0.10725,77.7
0.1073,77.6
0.10736,77.5
0.10741,77.4
0.10746,77.3
0.10751,77.2
0.10756,77.1
0.10761,77.0
0.10767,76.9
0.10772,76.8
0.10777,76.7
0.10782,76.6
0.10787,76.5
0.10792,76.4
0.10798,76.3
0.10803,76.2
0.10808,76.1
0.10813,76.0
0.10819,75.9
0.10824,75.8
0.10829,75.7
0.10834,75.6
0.10839,75.5
0.10845,75.4
0.1085,75.3
0.10855,75.2
0.1086,75.1
0.10866,75.0
0.10871,74.9
0.10876,74.8
0.10882,74.7
0.10887,74.6
0.10892,74.5
0.10897,74.4
0.10903,74.3
0.10908,74.2
0.10913,74.1
0.10919,74.0
0.10924,73.9
0.10929,73.8
0.10935,73.7
0.1094,73.6
0.10945,73.5
0.10951,73.4
0.10956,73.3
0.10961,73.2
0.10967,73.1
0.10972,73.0
0.10978,72.9
0.10983,72.8
0.10988,72.7
0.10994,72.6
0.10999,72.5
0.11005,72.4
0.1101,72.3
0.11015,72.2
0.11021,72.1
0.11026,72.0
0.11032,71.9
0.11037,71.8
0.11043,71.7
0.11048,71.6
0.11053,71.5
0.11059,71.4
0.11064,71.3
0.1107,71.2
0.11075,71.1
0.11081,71.0
0.11086,70.9
0.11092,70.8
0.11097,70.7
0.11103,70.6
0.11108,70.5
0.11114,70.4
0.11119,70.3
0.11125,70.2
0.1113,70.1
0.11136,70.0
0.11141,69.9
0.11147,69.8
0.11152,69.7
0.11158,69.6
0.11164,69.5
0.11169,69.4
0.11175,69.3
0.1118,69.2
0.11186,69.1
0.11191,69.0
0.11197,68.9
0.11203,68.8
0.11208,68.7
0.11214,68.6
0.1122,68.5
0.11225,68.4
0.11231,68.3
0.11236,68.2
0.11242,68.1
0.11248,68.0
0.11253,67.9
0.11259,67.8
0.11265,67.7
0.1127,67.6
0.11276,67.5
0.11282,67.4
0.11287,67.3
0.11293,67.2
0.11299,67.1
0.11304,67.0
0.1131,66.9
0.11316,66.8
0.11322,66.7
0.11327,66.6
0.11333,66.5
0.11339,66.4
0.11345,66.3
0.1135,66.2
0.11356,66.1
0.11362,66.0
0.11368,65.9
0.11373,65.8
0.11379,65.7
0.11385,65.6
0.11391,65.5
0.11396,65.4
0.11402,65.3
0.11408,65.2
0.11414,65.1
0.1142,65.0
0.11426,64.9
0.11431,64.8
0.11437,64.7
0.11443,64.6
0.11449,64.5
0.11455,64.4
0.11461,64.3
0.11466,64.2
0.11472,64.1
0.11478,64.0
0.11484,63.9
0.1149,63.8
0.11496,63.7
0.11502,63.6
0.11508,63.5
0.11514,63.4
0.1152,63.3
0.11525,63.2
0.11531,63.1
0.11537,63.0
0.11543,62.9
0.11549,62.8
0.11555,62.7
0.11561,62.6
0.11567,62.5
0.11573,62.4
0.11579,62.3
0.11585,62.2
0.11591,62.1
0.11597,62.0
0.11603,61.9
0.11609,61.8
0.11615,61.7
0.11621,61.6
0.11627,61.5
0.11633,61.4
0.11639,61.3
0.11645,61.2
0.11651,61.1
0.11657,61.0
0.11663,60.9
0.1167,60.8
0.11676,60.7
0.11682,60.6
0.11688,60.5
0.11694,60.4
0.117,60.3
0.11706,60.2
0.11712,60.1
0.11718,60.0
0.11725,59.9
0.11731,59.8
0.11737,59.7
0.11743,59.6
0.11749,59.5
0.11755,59.4
0.11761,59.3
0.11768,59.2
0.11774,59.1
0.1178,59.0
0.11786,58.9
0.11792,58.8
0.11799,58.7
0.11805,58.6
0.11811,58.5
0.11817,58.4
0.11824,58.3
0.1183,58.2
0.11836,58.1
0.11842,58.0
0.11849,57.9
0.11855,57.8
0.11861,57.7
0.11867,57.6
0.11874,57.5
0.1188,57.4
0.11886,57.3
0.11893,57.2
0.11899,57.1
0.11905,57.0
0.11912,56.9
0.11918,56.8
0.11924,56.7
0.11931,56.6
0.11937,56.5
0.11943,56.4
0.1195,56.3
0.11956,56.2
0.11962,56.1
0.11969,56.0
0.11975,55.9
0.11982,55.8
0.11988,55.7
0.11994,55.6
0.12001,55.5
0.12007,55.4
0.12014,55.3
0.1202,55.2
0.12027,55.1
0.12033,55.0
0.1204,54.9
0.12046,54.8
0.12052,54.7
0.12059,54.6
0.12065,54.5
0.12072,54.4
0.12078,54.3
0.12085,54.2
0.12091,54.1
0.12098,54.0
0.12105,53.9
0.12111,53.8
0.12118,53.7
0.12124,53.6
0.12131,53.5
0.12137,53.4
0.12144,53.3
0.12151,53.2
0.12157,53.1
0.12164,53.0
0.1217,52.9
0.12177,52.8
0.12184,52.7
0.1219,52.6
