Density_15C,US_Gallons_per_Tonne_60F,Barrels_per_Tonne_60F
654,404.96,9.642
655,404.34,9.627
656,403.72,9.612
657,403.1,9.598
658,402.49,9.583
659,401.88,9.568
660,401.27,9.554
661,400.66,9.539
662,400.05,9.525
663,399.44,9.511
664,398.84,9.496
665,398.24,9.482
666,397.64,9.468
667,397.04,9.453
668,396.45,9.439
669,395.85,9.425
670,395.26,9.411
671,394.67,9.397
672,394.08,9.383
673,393.49,9.369
674,392.91,9.355
675,392.32,9.341
676,391.74,9.327
677,391.16,9.313
678,390.58,9.3
679,390.0,9.286
680,389.43,9.272
681,388.85,9.258
682,388.28,9.245
683,387.71,9.231
684,387.14,9.218
685,386.58,9.204
686,386.01,9.191
687,385.45,9.177
688,384.89,9.164
689,384.33,9.151
690,383.77,9.137
691,383.21,9.124
692,382.66,9.111
693,382.1,9.098
694,381.55,9.085
695,381.0,9.071
696,380.45,9.058
697,379.9,9.045
698,379.36,9.032
699,378.81,9.019
700,378.27,9.006
701,377.73,8.994
702,377.19,8.981
703,376.65,8.968
704,376.11,8.955
705,375.58,8.942
706,375.05,8.93
707,374.51,8.917
708,373.98,8.904
709,373.45,8.892
710,372.93,8.879
711,372.4,8.867
712,371.88,8.854
713,371.35,8.842
714,370.83,8.829
715,370.31,8.817
716,369.79,8.805
717,369.28,8.792
718,368.76,8.78
719,368.25,8.768
720,367.73,8.756
721,367.22,8.743
722,366.71,8.731
723,366.2,8.719
724,365.7,8.707
725,365.19,8.695
726,364.69,8.683
727,364.18,8.671
728,363.68,8.659
729,363.18,8.647
730,362.68,8.635
731,362.18,8.623
732,361.69,8.612
733,361.19,8.6
734,360.7,8.588
735,360.21,8.576
736,359.72,8.565
737,359.23,8.553
738,358.74,8.541
739,358.25,8.53
740,357.77,8.518
741,357.28,8.507
742,356.8,8.495
743,356.32,8.484
744,355.84,8.472
745,355.36,8.461
746,354.88,8.45
747,354.41,8.438
748,353.93,8.427
749,353.46,8.416
750,352.98,8.404
751,352.51,8.393
752,352.04,8.382
753,351.57,8.371
754,351.11,8.36
755,350.64,8.349
756,350.18,8.338
757,349.71,8.326
758,349.25,8.315
759,348.79,8.304
760,348.33,8.294
761,347.87,8.283
762,347.41,8.272
763,346.95,8.261
764,346.5,8.25
765,346.05,8.239
766,345.59,8.228
767,345.14,8.218
768,344.69,8.207
769,344.24,8.196
770,343.79,8.186
771,343.34,8.175
772,342.9,8.164
773,342.45,8.154
774,342.0,8.143
775,341.56,8.132
776,341.12,8.122
777,340.68,8.111
778,340.23,8.101
779,339.8,8.09
780,339.36,8.08
781,338.92,8.07
782,338.48,8.059
783,338.05,8.049
784,337.61,8.038
785,337.18,8.028
786,336.75,8.018
787,336.32,8.008
788,335.89,7.997
789,335.46,7.987
790,335.04,7.977
791,334.61,7.967
792,334.19,7.957
793,333.77,7.947
794,333.35,7.937
795,332.93,7.927
796,332.51,7.917
797,332.09,7.907
798,331.67,7.897
799,331.25,7.887
800,330.84,7.877
801,330.43,7.867
802,330.01,7.857
803,329.6,7.848
804,329.19,7.838
805,328.78,7.828
806,328.37,7.818
807,327.96,7.809
808,327.56,7.799
809,327.15,7.789
810,326.74,7.78
811,326.34,7.77
812,325.94,7.76
813,325.54,7.751
814,325.13,7.741
815,324.73,7.732
816,324.34,7.722
817,323.94,7.713
818,323.54,7.703
819,323.14,7.694
820,322.75,7.685
821,322.36,7.675
822,321.96,7.666
823,321.57,7.656
824,321.18,7.647
825,320.79,7.638
826,320.4,7.629
827,320.01,7.619
828,319.62,7.61
829,319.24,7.601
830,318.85,7.592
831,318.47,7.583
832,318.08,7.573
833,317.7,7.564
834,317.32,7.555
835,316.94,7.546
836,316.56,7.537
837,316.18,7.528
838,315.8,7.519
839,315.42,7.51
840,315.05,7.501
841,314.67,7.492
842,314.3,7.483
843,313.92,7.474
844,313.55,7.465
845,313.18,7.457
846,312.81,7.448
847,312.44,7.439
848,312.07,7.43
849,311.7,7.421
850,311.33,7.413
851,310.97,7.404
852,310.6,7.395
853,310.24,7.387
854,309.87,7.378
855,309.51,7.369
856,309.15,7.361
857,308.78,7.352
858,308.42,7.343
859,308.06,7.335
860,307.71,7.326
861,307.35,7.318
862,306.99,7.309
863,306.63,7.301
864,306.28,7.292
865,305.92,7.284
866,305.57,7.275
867,305.22,7.267
868,304.86,7.259
869,304.51,7.25
870,304.16,7.242
871,303.81,7.234
872,303.46,7.225
873,303.11,7.217
874,302.77,7.209
875,302.42,7.2
876,302.07,7.192
877,301.73,7.184
878,301.38,7.176
879,301.04,7.168
880,300.7,7.159
881,300.36,7.151
882,300.02,7.143
883,299.67,7.135
884,299.34,7.127
885,299.0,7.119
886,298.66,7.111
887,298.32,7.103
888,297.98,7.095
889,297.65,7.087
890,297.31,7.079
891,296.98,7.071
892,296.65,7.063
893,296.31,7.055
894,295.98,7.047
895,295.65,7.039
896,295.32,7.031
897,294.99,7.024
898,294.66,7.016
899,294.33,7.008
900,294.0,7.0
901,293.68,6.992
902,293.35,6.985
903,293.03,6.977
904,292.7,6.969
905,292.38,6.961
906,292.05,6.954
907,291.73,6.946
908,291.41,6.938
909,291.09,6.931
910,290.77,6.923
911,290.45,6.915
912,290.13,6.908
913,289.81,6.9
914,289.49,6.893
915,289.17,6.885
916,288.86,6.878
917,288.54,6.87
918,288.23,6.863
919,287.91,6.855
920,287.6,6.848
921,287.29,6.84
922,286.98,6.833
923,286.66,6.825
924,286.35,6.818
925,286.04,6.811
926,285.73,6.803
927,285.42,6.796
928,285.12,6.788
929,284.81,6.781
930,284.5,6.774
931,284.2,6.767
932,283.89,6.759
933,283.59,6.752
934,283.28,6.745
935,282.98,6.738
936,282.68,6.73
937,282.37,6.723
938,282.07,6.716
939,281.77,6.709
940,281.47,6.702
941,281.17,6.695
942,280.87,6.687
943,280.57,6.68
944,280.28,6.673
945,279.98,6.666
946,279.68,6.659
947,279.39,6.652
948,279.09,6.645
949,278.8,6.638
950,278.51,6.631
951,278.21,6.624
952,277.92,6.617
953,277.62,6.61
954,277.33,6.603
955,277.04,6.596
956,276.75,6.589
957,276.46,6.582
958,276.17,6.576
959,275.88,6.569
960,275.6,6.562
961,275.31,6.555
962,275.02,6.548
963,274.74,6.541
964,274.45,6.535
965,274.17,6.528
966,273.88,6.521
967,273.6,6.514
968,273.31,6.507
969,273.03,6.501
970,272.75,6.494
971,272.47,6.487
972,272.19,6.481
973,271.91,6.474
974,271.63,6.467
975,271.35,6.461
976,271.07,6.454
977,270.79,6.447
978,270.51,6.441
979,270.24,6.434
980,269.96,6.428
981,269.69,6.421
982,269.41,6.415
983,269.14,6.408
984,268.86,6.401
985,268.59,6.395
986,268.32,6.388
987,268.04,6.382
988,267.77,6.376
989,267.5,6.369
990,267.23,6.363
991,266.96,6.356
992,266.69,6.35
993,266.42,6.343
994,266.15,6.337
995,265.88,6.331
996,265.62,6.324
997,265.35,6.318
998,265.08,6.312
999,264.82,6.305
1000,264.55,6.299
1001,264.29,6.293
1002,264.02,6.286
1003,263.76,6.28
1004,263.5,6.274
1005,263.23,6.267
1006,262.97,6.261
1007,262.71,6.255
1008,262.45,6.249
1009,262.19,6.243
1010,261.93,6.236
1011,261.67,6.23
1012,261.41,6.224
1013,261.15,6.218
1014,260.89,6.212
1015,260.64,6.206
1016,260.38,6.2
1017,260.12,6.193
1018,259.87,6.187
1019,259.61,6.181
1020,259.36,6.175
1021,259.1,6.169
1022,258.85,6.163
1023,258.6,6.157
1024,258.34,6.151
1025,258.09,6.145
1026,257.84,6.139
1027,257.59,6.133
1028,257.34,6.127
1029,257.08,6.121
1030,256.83,6.115
1031,256.59,6.109
1032,256.34,6.103
1033,256.09,6.097
1034,255.84,6.091
1035,255.59,6.086
1036,255.35,6.08
1037,255.1,6.074
1038,254.85,6.068
1039,254.61,6.062
1040,254.36,6.056
1041,254.12,6.05
1042,253.87,6.045
1043,253.63,6.039
1044,253.39,6.033
1045,253.14,6.027
1046,252.9,6.021
1047,252.66,6.016
1048,252.42,6.01
1049,252.18,6.004
1050,251.93,5.998
1051,251.69,5.993
1052,251.46,5.987
1053,251.22,5.981
1054,250.98,5.976
1055,250.74,5.97
1056,250.5,5.964
1057,250.26,5.959
1058,250.03,5.953
1059,249.79,5.947
1060,249.55,5.942
1061,249.32,5.936
1062,249.08,5.931
1063,248.85,5.925
1064,248.61,5.919
1065,248.38,5.914
1066,248.15,5.908
1067,247.91,5.903
1068,247.68,5.897
1069,247.45,5.892
1070,247.22,5.886
1071,246.99,5.881
1072,246.76,5.875
1073,246.53,5.87
1074,246.3,5.864
1075,246.07,5.859
