Relative_Density_60F,Short_Tons_per_1000_US_Gallons_60F,Short_Tons_per_Barrel_60F
0.654,2.7216,0.11431
0.655,2.7257,0.11448
0.656,2.7299,0.11466
0.657,2.7341,0.11483
0.658,2.7382,0.11501
0.659,2.7424,0.11518
0.66,2.7466,0.11536
0.661,2.7508,0.11553
0.662,2.7549,0.11571
0.663,2.7591,0.11588
0.664,2.7633,0.11606
0.665,2.7674,0.11623
0.666,2.7716,0.11641
0.667,2.7758,0.11658
0.668,2.7799,0.11676
0.669,2.7841,0.11693
0.67,2.7883,0.11711
0.671,2.7924,0.11728
0.672,2.7966,0.11746
0.673,2.8008,0.11763
0.674,2.805,0.11781
0.675,2.8091,0.11798
0.676,2.8133,0.11816
0.677,2.8175,0.11833
0.678,2.8216,0.11851
0.679,2.8258,0.11868
0.68,2.83,0.11886
0.681,2.8341,0.11903
0.682,2.8383,0.11921
0.683,2.8425,0.11938
0.684,2.8466,0.11956
0.685,2.8508,0.11973
0.686,2.855,0.11991
0.687,2.8592,0.12008
0.688,2.8633,0.12026
0.689,2.8675,0.12043
0.69,2.8717,0.12061
0.691,2.8758,0.12078
0.692,2.88,0.12096
0.693,2.8842,0.12113
0.694,2.8883,0.12131
0.695,2.8925,0.12149
0.696,2.8967,0.12166
0.697,2.9008,0.12184
0.698,2.905,0.12201
0.699,2.9092,0.12219
0.7,2.9133,0.12236
0.701,2.9175,0.12254
0.702,2.9217,0.12271
0.703,2.9259,0.12289
0.704,2.93,0.12306
0.705,2.9342,0.12324
0.706,2.9384,0.12341
0.707,2.9425,0.12359
0.708,2.9467,0.12376
0.709,2.9509,0.12394
0.71,2.955,0.12411
0.711,2.9592,0.12429
0.712,2.9634,0.12446
0.713,2.9675,0.12464
0.714,2.9717,0.12481
0.715,2.9759,0.12499
0.716,2.9801,0.12516
0.717,2.9842,0.12534
0.718,2.9884,0.12551
0.719,2.9926,0.12569
0.72,2.9967,0.12586
0.721,3.0009,0.12604
0.722,3.0051,0.12621
0.723,3.0092,0.12639
0.724,3.0134,0.12656
0.725,3.0176,0.12674
0.726,3.0217,0.12691
0.727,3.0259,0.12709
0.728,3.0301,0.12726
0.729,3.0343,0.12744
0.73,3.0384,0.12761
0.731,3.0426,0.12779
0.732,3.0468,0.12796
0.733,3.0509,0.12814
0.734,3.0551,0.12831
0.735,3.0593,0.12849
0.736,3.0634,0.12866
0.737,3.0676,0.12884
0.738,3.0718,0.12901
0.739,3.0759,0.12919
0.74,3.0801,0.12936
0.741,3.0843,0.12954
0.742,3.0885,0.12972
0.743,3.0926,0.12989
0.744,3.0968,0.13007
0.745,3.101,0.13024
0.746,3.1051,0.13042
0.747,3.1093,0.13059
0.748,3.1135,0.13077
0.749,3.1176,0.13094
0.75,3.1218,0.13112
0.751,3.126,0.13129
0.752,3.1301,0.13147
0.753,3.1343,0.13164
0.754,3.1385,0.13182
0.755,3.1427,0.13199
0.756,3.1468,0.13217
0.757,3.151,0.13234
0.758,3.1552,0.13252
0.759,3.1593,0.13269
0.76,3.1635,0.13287
0.761,3.1677,0.13304
0.762,3.1718,0.13322
0.763,3.176,0.13339
