Density_15C_kg_per_m3,Short_Tons_per_CubicMeter,Long_Tons_per_CubicMeter
654,0.7197,0.6426
655,0.7208,0.6436
656,0.7219,0.6445
657,0.723,0.6455
658,0.7241,0.6465
659,0.7252,0.6475
660,0.7263,0.6485
661,0.7274,0.6495
662,0.7285,0.6504
663,0.7296,0.6514
664,0.7307,0.6524
665,0.7318,0.6534
666,0.7329,0.6544
667,0.734,0.6554
668,0.7351,0.6563
669,0.7362,0.6573
670,0.7373,0.6583
671,0.7384,0.6593
672,0.7395,0.6603
673,0.7406,0.6613
674,0.7417,0.6623
675,0.7428,0.6632
676,0.7439,0.6642
677,0.745,0.6652
678,0.7461,0.6662
679,0.7472,0.6672
680,0.7483,0.6682
681,0.7494,0.6691
682,0.7505,0.6701
683,0.7516,0.6711
684,0.7527,0.6721
685,0.7539,0.6731
686,0.755,0.6741
687,0.7561,0.6751
688,0.7572,0.676
689,0.7583,0.677
690,0.7594,0.678
691,0.7605,0.679
692,0.7616,0.68
693,0.7627,0.681
694,0.7638,0.6819
695,0.7649,0.6829
696,0.766,0.6839
697,0.7671,0.6849
698,0.7682,0.6859
699,0.7693,0.6869
700,0.7704,0.6878
701,0.7715,0.6888
702,0.7726,0.6898
703,0.7737,0.6908
704,0.7748,0.6918
705,0.7759,0.6928
706,0.777,0.6938
707,0.7781,0.6947
708,0.7792,0.6957
709,0.7803,0.6967
710,0.7814,0.6977
711,0.7825,0.6987
712,0.7836,0.6997
713,0.7847,0.7006
714,0.7858,0.7016
715,0.7869,0.7026
716,0.788,0.7036
717,0.7891,0.7046
718,0.7902,0.7056
719,0.7913,0.7066
720,0.7924,0.7075
721,0.7935,0.7085
722,0.7946,0.7095
723,0.7957,0.7105
724,0.7968,0.7115
725,0.798,0.7125
726,0.7991,0.7134
727,0.8002,0.7144
728,0.8013,0.7154
729,0.8024,0.7164
730,0.8035,0.7174
731,0.8046,0.7184
732,0.8057,0.7193
733,0.8068,0.7203
734,0.8079,0.7213
735,0.809,0.7223
736,0.8101,0.7233
737,0.8112,0.7243
738,0.8123,0.7253
739,0.8134,0.7262
740,0.8145,0.7272
741,0.8156,0.7282
742,0.8167,0.7292
743,0.8178,0.7302
744,0.8189,0.7312
745,0.82,0.7321
746,0.8211,0.7331
747,0.8222,0.7341
748,0.8233,0.7351
749,0.8244,0.7361
750,0.8255,0.7371
751,0.8266,0.738
752,0.8277,0.739
753,0.8288,0.74
754,0.8299,0.741
755,0.831,0.742
756,0.8321,0.743
757,0.8332,0.744
758,0.8343,0.7449
759,0.8354,0.7459
760,0.8365,0.7469
761,0.8376,0.7479
762,0.8387,0.7489
763,0.8398,0.7499
764,0.8409,0.7508
765,0.8421,0.7518
766,0.8432,0.7528
767,0.8443,0.7538
768,0.8454,0.7548
769,0.8465,0.7558
770,0.8476,0.7568
771,0.8487,0.7577
772,0.8498,0.7587
773,0.8509,0.7597
774,0.852,0.7607
775,0.8531,0.7617
776,0.8542,0.7627
777,0.8553,0.7636
778,0.8564,0.7646
779,0.8575,0.7656
780,0.8586,0.7666
781,0.8597,0.7676
782,0.8608,0.7686
783,0.8619,0.7695
784,0.863,0.7705
785,0.8641,0.7715
786,0.8652,0.7725
787,0.8663,0.7735
788,0.8674,0.7745
789,0.8685,0.7755
790,0.8696,0.7764
791,0.8707,0.7774
792,0.8718,0.7784
793,0.8729,0.7794
794,0.874,0.7804
795,0.8751,0.7814
796,0.8762,0.7823
797,0.8773,0.7833
798,0.8784,0.7843
799,0.8795,0.7853
800,0.8806,0.7863
801,0.8817,0.7873
802,0.8828,0.7883
803,0.8839,0.7892
804,0.885,0.7902
805,0.8861,0.7912
806,0.8873,0.7922
807,0.8884,0.7932
808,0.8895,0.7942
809,0.8906,0.7951
810,0.8917,0.7961
811,0.8928,0.7971
812,0.8939,0.7981
813,0.895,0.7991
814,0.8961,0.8001
815,0.8972,0.801
816,0.8983,0.802
817,0.8994,0.803
818,0.9005,0.804
819,0.9016,0.805
820,0.9027,0.806
821,0.9038,0.807
822,0.9049,0.8079
823,0.906,0.8089
824,0.9071,0.8099
825,0.9082,0.8109
826,0.9093,0.8119
827,0.9104,0.8129
828,0.9115,0.8138
829,0.9126,0.8148
830,0.9137,0.8158
831,0.9148,0.8168
832,0.9159,0.8178
833,0.917,0.8188
834,0.9181,0.8198
835,0.9192,0.8207
836,0.9203,0.8217
837,0.9214,0.8227
838,0.9225,0.8237
839,0.9236,0.8247
840,0.9247,0.8257
841,0.9258,0.8266
842,0.9269,0.8276
843,0.928,0.8286
844,0.9291,0.8296
845,0.9302,0.8306
846,0.9314,0.8316
847,0.9325,0.8325
848,0.9336,0.8335
849,0.9347,0.8345
850,0.9358,0.8355
851,0.9369,0.8365
852,0.938,0.8375
853,0.9391,0.8385
854,0.9402,0.8394
855,0.9413,0.8404
856,0.9424,0.8414
857,0.9435,0.8424
858,0.9446,0.8434
859,0.9457,0.8444
860,0.9468,0.8453
861,0.9479,0.8463
862,0.949,0.8473
863,0.9501,0.8483
864,0.9512,0.8493
865,0.9523,0.8503
866,0.9534,0.8513
867,0.9545,0.8522
868,0.9556,0.8532
869,0.9567,0.8542
870,0.9578,0.8552
871,0.9589,0.8562
872,0.96,0.8572
873,0.9611,0.8581
874,0.9622,0.8591
875,0.9633,0.8601
876,0.9644,0.8611
877,0.9655,0.8621
878,0.9666,0.8631
879,0.9677,0.864
880,0.9688,0.865
881,0.9699,0.866
882,0.971,0.867
883,0.9721,0.868
884,0.9732,0.869
885,0.9743,0.87
886,0.9754,0.8709
887,0.9766,0.8719
888,0.9777,0.8729
889,0.9788,0.8739
890,0.9799,0.8749
891,0.981,0.8759
892,0.9821,0.8768
893,0.9832,0.8778
894,0.9843,0.8788
895,0.9854,0.8798
896,0.9865,0.8808
897,0.9876,0.8818
898,0.9887,0.8827
899,0.9898,0.8837
900,0.9909,0.8847
901,0.992,0.8857
902,0.9931,0.8867
903,0.9942,0.8877
904,0.9953,0.8887
905,0.9964,0.8896
906,0.9975,0.8906
907,0.9986,0.8916
908,0.9997,0.8926
909,1.0008,0.8936
910,1.0019,0.8946
911,1.003,0.8955
912,1.0041,0.8965
913,1.0052,0.8975
914,1.0063,0.8985
915,1.0074,0.8995
916,1.0085,0.9005
917,1.0096,0.9015
918,1.0107,0.9024
919,1.0118,0.9034
920,1.0129,0.9044
921,1.014,0.9054
922,1.0151,0.9064
923,1.0162,0.9074
924,1.0173,0.9083
925,1.0184,0.9093
926,1.0195,0.9103
927,1.0207,0.9113
928,1.0218,0.9123
929,1.0229,0.9133
930,1.024,0.9142
931,1.0251,0.9152
932,1.0262,0.9162
933,1.0273,0.9172
934,1.0284,0.9182
935,1.0295,0.9192
936,1.0306,0.9202
937,1.0317,0.9211
938,1.0328,0.9221
939,1.0339,0.9231
940,1.035,0.9241
941,1.0361,0.9251
942,1.0372,0.9261
943,1.0383,0.927
944,1.0394,0.928
945,1.0405,0.929
946,1.0416,0.93
947,1.0427,0.931
948,1.0438,0.932
949,1.0449,0.933
950,1.046,0.9339
951,1.0471,0.9349
952,1.0482,0.9359
953,1.0493,0.9369
954,1.0504,0.9379
955,1.0515,0.9389
956,1.0526,0.9398
957,1.0537,0.9408
958,1.0548,0.9418
959,1.0559,0.9428
960,1.057,0.9438
961,1.0581,0.9448
962,1.0592,0.9457
963,1.0603,0.9467
964,1.0614,0.9477
965,1.0625,0.9487
966,1.0636,0.9497
967,1.0648,0.9507
968,1.0659,0.9517
969,1.067,0.9526
970,1.0681,0.9536
971,1.0692,0.9546
972,1.0703,0.9556
973,1.0714,0.9566
974,1.0725,0.9576
975,1.0736,0.9585
976,1.0747,0.9595
977,1.0758,0.9605
978,1.0769,0.9615
979,1.078,0.9625
980,1.0791,0.9635
981,1.0802,0.9645
982,1.0813,0.9654
983,1.0824,0.9664
984,1.0835,0.9674
985,1.0846,0.9684
986,1.0857,0.9694
987,1.0868,0.9704
988,1.0879,0.9713
989,1.089,0.9723
990,1.0901,0.9733
991,1.0912,0.9743
992,1.0923,0.9753
993,1.0934,0.9763
994,1.0945,0.9772
995,1.0956,0.9782
996,1.0967,0.9792
997,1.0978,0.9802
998,1.0989,0.9812
999,1.1,0.9822
1000,1.1011,0.9832
1001,1.1022,0.9841
1002,1.1033,0.9851
1003,1.1044,0.9861
1004,1.1055,0.9871
1005,1.1066,0.9881
1006,1.1077,0.9891
1007,1.1088,0.99
1008,1.11,0.991
1009,1.1111,0.992
1010,1.1122,0.993
