API_Gravity_60F,Short_Tons_per_1000_US_Gallons_60F,Short_Tons_per_Barrel_60F
0.0,4.4812,0.18821
0.1,4.4777,0.18807
0.2,4.4743,0.18792
0.3,4.4709,0.18778
0.4,4.4675,0.18764
0.5,4.4642,0.18749
0.6,4.4608,0.18735
0.7,4.4574,0.18721
0.8,4.454,0.18707
0.9,4.4507,0.18693
1.0,4.4473,0.18679
1.1,4.4439,0.18665
1.2,4.4406,0.1865
1.3,4.4372,0.18636
1.4,4.4339,0.18622
1.5,4.4306,0.18608
1.6,4.4272,0.18594
1.7,4.4239,0.1858
1.8,4.4206,0.18566
1.9,4.4173,0.18552
2.0,4.4139,0.18539
2.1,4.4106,0.18525
2.2,4.4073,0.18511
2.3,4.404,0.18497
2.4,4.4007,0.18483
2.5,4.3975,0.18469
2.6,4.3942,0.18456
2.7,4.3909,0.18442
2.8,4.3876,0.18428
2.9,4.3844,0.18414
3.0,4.3811,0.18401
3.1,4.3778,0.18387
3.2,4.3746,0.18373
3.3,4.3713,0.1836
3.4,4.3681,0.18346
3.5,4.3648,0.18332
3.6,4.3616,0.18319
3.7,4.3584,0.18305
3.8,4.3552,0.18292
3.9,4.3519,0.18278
4.0,4.3487,0.18265
4.1,4.3455,0.18251
4.2,4.3423,0.18238
4.3,4.3391,0.18224
4.4,4.3359,0.18211
4.5,4.3327,0.18197
4.6,4.3295,0.18184
4.7,4.3263,0.18171
4.8,4.3232,0.18157
4.9,4.32,0.18144
5.0,4.3168,0.18131
5.1,4.3137,0.18117
5.2,4.3105,0.18104
5.3,4.3073,0.18091
5.4,4.3042,0.18078
5.5,4.301,0.18064
5.6,4.2979,0.18051
5.7,4.2948,0.18038
5.8,4.2916,0.18025
5.9,4.2885,0.18012
6.0,4.2854,0.17999
6.1,4.2823,0.17986
6.2,4.2792,0.17972
6.3,4.276,0.17959
6.4,4.2729,0.17946
6.5,4.2698,0.17933
6.6,4.2667,0.1792
6.7,4.2637,0.17907
6.8,4.2606,0.17894
6.9,4.2575,0.17881
7.0,4.2544,0.17869
7.1,4.2513,0.17856
7.2,4.2483,0.17843
7.3,4.2452,0.1783
7.4,4.2421,0.17817
7.5,4.2391,0.17804
7.6,4.236,0.17791
7.7,4.233,0.17779
7.8,4.2299,0.17766
7.9,4.2269,0.17753
8.0,4.2239,0.1774
8.1,4.2208,0.17728
8.2,4.2178,0.17715
8.3,4.2148,0.17702
8.4,4.2118,0.1769
8.5,4.2088,0.17677
8.6,4.2058,0.17664
8.7,4.2028,0.17652
8.8,4.1998,0.17639
8.9,4.1968,0.17626
9.0,4.1938,0.17614
9.1,4.1908,0.17601
9.2,4.1878,0.17589
9.3,4.1848,0.17576
9.4,4.1819,0.17564
9.5,4.1789,0.17551
9.6,4.1759,0.17539
9.7,4.173,0.17526
9.8,4.17,0.17514
9.9,4.1671,0.17502
10.0,4.1641,0.17489
10.1,4.1612,0.17477
10.2,4.1582,0.17465
10.3,4.1553,0.17452
10.4,4.1524,0.1744
10.5,4.1494,0.17428
10.6,4.1465,0.17415
10.7,4.1436,0.17403
10.8,4.1407,0.17391
10.9,4.1378,0.17379
11.0,4.1348,0.17366
11.1,4.1319,0.17354
11.2,4.129,0.17342
11.3,4.1261,0.1733
11.4,4.1233,0.17318
11.5,4.1204,0.17306
11.6,4.1175,0.17293
11.7,4.1146,0.17281
11.8,4.1117,0.17269
11.9,4.1089,0.17257
12.0,4.106,0.17245
12.1,4.1031,0.17233
