api_gravity_60f,long_tons_per_1000_us_gallons_60f,long_tons_per_barrel_60f
0.0,4.001,0.16804
0.1,3.998,0.16792
0.2,3.9949,0.16779
0.3,3.9919,0.16766
0.4,3.9889,0.16753
0.5,3.9859,0.16741
0.6,3.9828,0.16728
0.7,3.9798,0.16715
0.8,3.9768,0.16703
0.9,3.9738,0.1669
1.0,3.9708,0.16677
1.1,3.9678,0.16665
1.2,3.9648,0.16652
1.3,3.9618,0.1664
1.4,3.9588,0.16627
1.5,3.9559,0.16615
1.6,3.9529,0.16602
1.7,3.9499,0.1659
1.8,3.9469,0.16577
1.9,3.944,0.16565
2.0,3.941,0.16552
2.1,3.9381,0.1654
2.2,3.9351,0.16527
2.3,3.9322,0.16515
2.4,3.9292,0.16503
2.5,3.9263,0.1649
2.6,3.9234,0.16478
2.7,3.9204,0.16466
2.8,3.9175,0.16454
2.9,3.9146,0.16441
3.0,3.9117,0.16429
3.1,3.9088,0.16417
3.2,3.9059,0.16405
3.3,3.903,0.16392
3.4,3.9001,0.1638
3.5,3.8972,0.16368
3.6,3.8943,0.16356
3.7,3.8914,0.16344
3.8,3.8885,0.16332
3.9,3.8857,0.1632
4.0,3.8828,0.16308
4.1,3.8799,0.16296
4.2,3.8771,0.16284
4.3,3.8742,0.16272
4.4,3.8713,0.1626
4.5,3.8685,0.16248
4.6,3.8656,0.16236
4.7,3.8628,0.16224
4.8,3.86,0.16212
4.9,3.8571,0.162
5.0,3.8543,0.16188
5.1,3.8515,0.16176
5.2,3.8487,0.16164
5.3,3.8458,0.16153
5.4,3.843,0.16141
5.5,3.8402,0.16129
5.6,3.8374,0.16117
5.7,3.8346,0.16105
5.8,3.8318,0.16094
5.9,3.829,0.16082
6.0,3.8262,0.1607
6.1,3.8235,0.16059
6.2,3.8207,0.16047
6.3,3.8179,0.16035
6.4,3.8151,0.16024
6.5,3.8124,0.16012
6.6,3.8096,0.16
6.7,3.8068,0.15989
6.8,3.8041,0.15977
6.9,3.8013,0.15966
7.0,3.7986,0.15954
7.1,3.7958,0.15943
7.2,3.7931,0.15931
7.3,3.7904,0.1592
7.4,3.7876,0.15908
7.5,3.7849,0.15897
7.6,3.7822,0.15885
7.7,3.7795,0.15874
7.8,3.7767,0.15862
7.9,3.774,0.15851
8.0,3.7713,0.1584
8.1,3.7686,0.15828
8.2,3.7659,0.15817
8.3,3.7632,0.15806
8.4,3.7605,0.15794
8.5,3.7578,0.15783
8.6,3.7551,0.15772
8.7,3.7525,0.1576
8.8,3.7498,0.15749
8.9,3.7471,0.15738
9.0,3.7444,0.15727
9.1,3.7418,0.15715
