relative_density_60f,pounds_per_us_gallon_60f,us_gallons_per_pound_60f
0.654,5.4431,0.18372
0.655,5.4515,0.18344
0.656,5.4598,0.18316
0.657,5.4681,0.18288
0.658,5.4765,0.1826
0.659,5.4848,0.18232
0.66,5.4932,0.18204
0.661,5.5015,0.18177
0.662,5.5098,0.18149
0.663,5.5182,0.18122
0.664,5.5265,0.18095
0.665,5.5349,0.18067
0.666,5.5432,0.1804
0.667,5.5515,0.18013
0.668,5.5599,0.17986
0.669,5.5682,0.17959
0.67,5.5765,0.17932
0.671,5.5849,0.17905
0.672,5.5932,0.17879
0.673,5.6016,0.17852
0.674,5.6099,0.17826
0.675,5.6182,0.17799
0.676,5.6266,0.17773
0.677,5.6349,0.17746
0.678,5.6433,0.1772
0.679,5.6516,0.17694
0.68,5.6599,0.17668
0.681,5.6683,0.17642
0.682,5.6766,0.17616
0.683,5.6849,0.1759
0.684,5.6933,0.17565
0.685,5.7016,0.17539
0.686,5.71,0.17513
0.687,5.7183,0.17488
0.688,5.7266,0.17462
0.689,5.735,0.17437
0.69,5.7433,0.17412
0.691,5.7517,0.17386
0.692,5.76,0.17361
0.693,5.7683,0.17336
0.694,5.7767,0.17311
0.695,5.785,0.17286
0.696,5.7933,0.17261
0.697,5.8017,0.17236
0.698,5.81,0.17212
0.699,5.8184,0.17187
0.7,5.8267,0.17162
0.701,5.835,0.17138
0.702,5.8434,0.17113
0.703,5.8517,0.17089
0.704,5.8601,0.17065
0.705,5.8684,0.1704
0.706,5.8767,0.17016
0.707,5.8851,0.16992
0.708,5.8934,0.16968
0.709,5.9017,0.16944
0.71,5.9101,0.1692
0.711,5.9184,0.16896
0.712,5.9268,0.16873
0.713,5.9351,0.16849
0.714,5.9434,0.16825
0.715,5.9518,0.16802
0.716,5.9601,0.16778
0.717,5.9685,0.16755
0.718,5.9768,0.16731
0.719,5.9851,0.16708
0.72,5.9935,0.16685
0.721,6.0018,0.16662
0.722,6.0101,0.16639
0.723,6.0185,0.16615
0.724,6.0268,0.16592
0.725,6.0352,0.1657
0.726,6.0435,0.16547
0.727,6.0518,0.16524
0.728,6.0602,0.16501
0.729,6.0685,0.16479
0.73,6.0769,0.16456
0.731,6.0852,0.16433
0.732,6.0935,0.16411
0.733,6.1019,0.16388
0.734,6.1102,0.16366
0.735,6.1185,0.16344
0.736,6.1269,0.16322
0.737,6.1352,0.16299
0.738,6.1436,0.16277
0.739,6.1519,0.16255
0.74,6.1602,0.16233
0.741,6.1686,0.16211
0.742,6.1769,0.16189
0.743,6.1852,0.16167
0.744,6.1936,0.16146
0.745,6.2019,0.16124
0.746,6.2103,0.16102
0.747,6.2186,0.16081
0.748,6.2269,0.16059
0.749,6.2353,0.16038
0.75,6.2436,0.16016
0.751,6.252,0.15995
0.752,6.2603,0.15974
0.753,6.2686,0.15952
0.754,6.277,0.15931
0.755,6.2853,0.1591
0.756,6.2936,0.15889
0.757,6.302,0.15868
0.758,6.3103,0.15847
0.759,6.3187,0.15826
0.76,6.327,0.15805
0.761,6.3353,0.15784
0.762,6.3437,0.15764
0.763,6.352,0.15743
0.764,6.3604,0.15722
0.765,6.3687,0.15702
0.766,6.377,0.15681
0.767,6.3854,0.15661
0.768,6.3937,0.1564
0.769,6.402,0.1562
0.77,6.4104,0.156
0.771,6.4187,0.15579
0.772,6.4271,0.15559
0.773,6.4354,0.15539
0.774,6.4437,0.15519
0.775,6.4521,0.15499
0.776,6.4604,0.15479
0.777,6.4688,0.15459
0.778,6.4771,0.15439
0.779,6.4854,0.15419
0.78,6.4938,0.15399
0.781,6.5021,0.1538
0.782,6.5104,0.1536
0.783,6.5188,0.1534
0.784,6.5271,0.15321
0.785,6.5355,0.15301
0.786,6.5438,0.15282
0.787,6.5521,0.15262
0.788,6.5605,0.15243
0.789,6.5688,0.15223
0.79,6.5772,0.15204
0.791,6.5855,0.15185
0.792,6.5938,0.15166
0.793,6.6022,0.15147
0.794,6.6105,0.15127
0.795,6.6188,0.15108
0.796,6.6272,0.15089
0.797,6.6355,0.1507
0.798,6.6439,0.15051
0.799,6.6522,0.15033
0.8,6.6605,0.15014
0.801,6.6689,0.14995
0.802,6.6772,0.14976
0.803,6.6856,0.14958
0.804,6.6939,0.14939
0.805,6.7022,0.1492
0.806,6.7106,0.14902
0.807,6.7189,0.14883
0.808,6.7272,0.14865
0.809,6.7356,0.14847
0.81,6.7439,0.14828
0.811,6.7523,0.1481
0.812,6.7606,0.14792
0.813,6.7689,0.14773
0.814,6.7773,0.14755
0.815,6.7856,0.14737
0.816,6.7939,0.14719
0.817,6.8023,0.14701
0.818,6.8106,0.14683
0.819,6.819,0.14665
