api_gravity_60f,cubic_meters_per_short_ton_15c,cubic_meters_per_long_ton_15c
0.0,0.8445,0.9458
0.1,0.8451,0.9465
0.2,0.8457,0.9472
0.3,0.8464,0.9479
0.4,0.847,0.9487
0.5,0.8477,0.9494
0.6,0.8483,0.9501
0.7,0.849,0.9508
0.8,0.8496,0.9515
0.9,0.8502,0.9523
1.0,0.8509,0.953
1.1,0.8515,0.9537
1.2,0.8522,0.9544
1.3,0.8528,0.9551
1.4,0.8534,0.9559
1.5,0.8541,0.9566
1.6,0.8547,0.9573
1.7,0.8554,0.958
1.8,0.856,0.9587
1.9,0.8567,0.9595
2.0,0.8573,0.9602
2.1,0.8579,0.9609
2.2,0.8586,0.9616
2.3,0.8592,0.9623
2.4,0.8599,0.9631
2.5,0.8605,0.9638
2.6,0.8612,0.9645
2.7,0.8618,0.9652
2.8,0.8624,0.9659
2.9,0.8631,0.9667
3.0,0.8637,0.9674
3.1,0.8644,0.9681
3.2,0.865,0.9688
3.3,0.8657,0.9695
3.4,0.8663,0.9703
3.5,0.8669,0.971
3.6,0.8676,0.9717
3.7,0.8682,0.9724
3.8,0.8689,0.9731
3.9,0.8695,0.9739
4.0,0.8702,0.9746
4.1,0.8708,0.9753
4.2,0.8714,0.976
4.3,0.8721,0.9767
4.4,0.8727,0.9775
4.5,0.8734,0.9782
4.6,0.874,0.9789
4.7,0.8747,0.9796
4.8,0.8753,0.9803
4.9,0.8759,0.9811
5.0,0.8766,0.9818
5.1,0.8772,0.9825
5.2,0.8779,0.9832
5.3,0.8785,0.9839
5.4,0.8792,0.9847
5.5,0.8798,0.9854
5.6,0.8804,0.9861
5.7,0.8811,0.9868
5.8,0.8817,0.9875
5.9,0.8824,0.9883
6.0,0.883,0.989
6.1,0.8837,0.9897
6.2,0.8843,0.9904
6.3,0.8849,0.9911
6.4,0.8856,0.9919
6.5,0.8862,0.9926
6.6,0.8869,0.9933
6.7,0.8875,0.994
6.8,0.8882,0.9947
6.9,0.8888,0.9955
7.0,0.8894,0.9962
7.1,0.8901,0.9969
7.2,0.8907,0.9976
7.3,0.8914,0.9983
7.4,0.892,0.999
7.5,0.8927,0.9998
7.6,0.8933,1.0005
7.7,0.8939,1.0012
7.8,0.8946,1.0019
7.9,0.8952,1.0026
8.0,0.8959,1.0034
8.1,0.8965,1.0041
8.2,0.8971,1.0048
8.3,0.8978,1.0055
8.4,0.8984,1.0062
8.5,0.8991,1.007
8.6,0.8997,1.0077
8.7,0.9004,1.0084
8.8,0.901,1.0091
8.9,0.9016,1.0098
9.0,0.9023,1.0106
9.1,0.9029,1.0113
9.2,0.9036,1.012
9.3,0.9042,1.0127
9.4,0.9049,1.0134
9.5,0.9055,1.0142
9.6,0.9061,1.0149
9.7,0.9068,1.0156
9.8,0.9074,1.0163
9.9,0.9081,1.017
10.0,0.9087,1.0178
10.1,0.9094,1.0185
10.2,0.91,1.0192
10.3,0.9106,1.0199
10.4,0.9113,1.0206
10.5,0.9119,1.0214
10.6,0.9126,1.0221
10.7,0.9132,1.0228
10.8,0.9139,1.0235
10.9,0.9145,1.0242
11.0,0.9151,1.025
11.1,0.9158,1.0257
11.2,0.9164,1.0264
11.3,0.9171,1.0271
11.4,0.9177,1.0278
11.5,0.9184,1.0286
11.6,0.919,1.0293
11.7,0.9196,1.03
11.8,0.9203,1.0307
11.9,0.9209,1.0314
12.0,0.9216,1.0322
12.1,0.9222,1.0329
12.2,0.9229,1.0336
12.3,0.9235,1.0343
12.4,0.9241,1.035
12.5,0.9248,1.0358
12.6,0.9254,1.0365
12.7,0.9261,1.0372
12.8,0.9267,1.0379
12.9,0.9274,1.0386
13.0,0.928,1.0394
13.1,0.9286,1.0401
13.2,0.9293,1.0408
13.3,0.9299,1.0415
13.4,0.9306,1.0422
13.5,0.9312,1.043
13.6,0.9319,1.0437
13.7,0.9325,1.0444
13.8,0.9331,1.0451
13.9,0.9338,1.0458
14.0,0.9344,1.0466
14.1,0.9351,1.0473
14.2,0.9357,1.048
14.3,0.9364,1.0487
14.4,0.937,1.0494
14.5,0.9376,1.0502
14.6,0.9383,1.0509
14.7,0.9389,1.0516
14.8,0.9396,1.0523
14.9,0.9402,1.053
15.0,0.9409,1.0538
15.1,0.9415,1.0545
15.2,0.9421,1.0552
15.3,0.9428,1.0559
15.4,0.9434,1.0566
15.5,0.9441,1.0574
15.6,0.9447,1.0581
15.7,0.9454,1.0588
15.8,0.946,1.0595
15.9,0.9466,1.0602
16.0,0.9473,1.061
16.1,0.9479,1.0617
16.2,0.9486,1.0624
16.3,0.9492,1.0631
16.4,0.9499,1.0638
16.5,0.9505,1.0646
16.6,0.9511,1.0653
16.7,0.9518,1.066
16.8,0.9524,1.0667
16.9,0.9531,1.0674
17.0,0.9537,1.0682
17.1,0.9543,1.0689
17.2,0.955,1.0696
17.3,0.9556,1.0703
17.4,0.9563,1.071
17.5,0.9569,1.0718
17.6,0.9576,1.0725
17.7,0.9582,1.0732
17.8,0.9588,1.0739
17.9,0.9595,1.0746
18.0,0.9601,1.0753
18.1,0.9608,1.0761
18.2,0.9614,1.0768
18.3,0.9621,1.0775
18.4,0.9627,1.0782
18.5,0.9633,1.0789
18.6,0.964,1.0797
18.7,0.9646,1.0804
18.8,0.9653,1.0811
18.9,0.9659,1.0818
19.0,0.9666,1.0825
19.1,0.9672,1.0833
19.2,0.9678,1.084
19.3,0.9685,1.0847
19.4,0.9691,1.0854
19.5,0.9698,1.0861
19.6,0.9704,1.0869
19.7,0.9711,1.0876
19.8,0.9717,1.0883
19.9,0.9723,1.089
20.0,0.973,1.0897
20.1,0.9736,1.0905
20.2,0.9743,1.0912
20.3,0.9749,1.0919
20.4,0.9756,1.0926
20.5,0.9762,1.0933
20.6,0.9768,1.0941
20.7,0.9775,1.0948
20.8,0.9781,1.0955
20.9,0.9788,1.0962
21.0,0.9794,1.0969
21.1,0.9801,1.0977
21.2,0.9807,1.0984
21.3,0.9813,1.0991
21.4,0.982,1.0998
21.5,0.9826,1.1005
21.6,0.9833,1.1013
21.7,0.9839,1.102
21.8,0.9846,1.1027
21.9,0.9852,1.1034
22.0,0.9858,1.1041
22.1,0.9865,1.1049
22.2,0.9871,1.1056
22.3,0.9878,1.1063
22.4,0.9884,1.107
22.5,0.9891,1.1077
22.6,0.9897,1.1085
22.7,0.9903,1.1092
22.8,0.991,1.1099
22.9,0.9916,1.1106
23.0,0.9923,1.1113
23.1,0.9929,1.1121
23.2,0.9936,1.1128
23.3,0.9942,1.1135
23.4,0.9948,1.1142
23.5,0.9955,1.1149
23.6,0.9961,1.1157
23.7,0.9968,1.1164
23.8,0.9974,1.1171
23.9,0.9981,1.1178
24.0,0.9987,1.1185
24.1,0.9993,1.1193
24.2,1.0,1.12
24.3,1.0006,1.1207
24.4,1.0013,1.1214
24.5,1.0019,1.1221
24.6,1.0026,1.1229
24.7,1.0032,1.1236
24.8,1.0038,1.1243
24.9,1.0045,1.125
25.0,1.0051,1.1257
25.1,1.0058,1.1265
25.2,1.0064,1.1272
25.3,1.0071,1.1279
25.4,1.0077,1.1286
25.5,1.0083,1.1293
25.6,1.009,1.1301
25.7,1.0096,1.1308
25.8,1.0103,1.1315
25.9,1.0109,1.1322
26.0,1.0116,1.1329
26.1,1.0122,1.1337
26.2,1.0128,1.1344
26.3,1.0135,1.1351
26.4,1.0141,1.1358
26.5,1.0148,1.1365
26.6,1.0154,1.1373
26.7,1.0161,1.138
26.8,1.0167,1.1387
26.9,1.0173,1.1394
27.0,1.018,1.1401
27.1,1.0186,1.1409
27.2,1.0193,1.1416
27.3,1.0199,1.1423
27.4,1.0206,1.143
27.5,1.0212,1.1437
27.6,1.0218,1.1445
27.7,1.0225,1.1452
27.8,1.0231,1.1459
27.9,1.0238,1.1466
28.0,1.0244,1.1473
28.1,1.0251,1.1481
28.2,1.0257,1.1488
28.3,1.0263,1.1495
