relative_density_60f,api_gravity_60f,density_15c_kg_per_m3
0.654,84.86,653.9
0.655,84.53,654.9
0.656,84.2,655.9
0.657,83.87,656.9
0.658,83.55,657.9
0.659,83.22,658.9
0.66,82.89,659.9
0.661,82.57,660.9
0.662,82.25,661.9
0.663,81.92,662.9
0.664,81.6,663.9
0.665,81.28,664.9
0.666,80.96,665.9
0.667,80.64,666.9
0.668,80.33,667.9
0.669,80.01,668.9
0.67,79.69,669.9
0.671,79.38,670.9
0.672,79.07,671.9
0.673,78.75,672.9
0.674,78.44,673.9
0.675,78.13,674.9
0.676,77.82,675.9
0.677,77.51,676.9
0.678,77.2,677.9
0.679,76.89,678.9
0.68,76.59,679.9
0.681,76.28,680.9
0.682,75.98,681.9
0.683,75.67,682.9
0.684,75.37,683.8
0.685,75.07,684.8
0.686,74.77,685.8
0.687,74.47,686.8
0.688,74.17,687.8
0.689,73.87,688.8
0.69,73.57,689.8
0.691,73.28,690.8
0.692,72.98,691.8
0.693,72.68,692.8
0.694,72.39,693.8
0.695,72.1,694.8
0.696,71.8,695.8
0.697,71.51,696.8
0.698,71.22,697.8
0.699,70.93,698.8
0.7,70.64,699.8
0.701,70.35,700.8
0.702,70.07,701.8
0.703,69.78,702.8
0.704,69.49,703.8
0.705,69.21,704.8
0.706,68.92,705.8
0.707,68.64,706.8
0.708,68.36,707.8
0.709,68.08,708.8
0.71,67.8,709.8
0.711,67.52,710.8
0.712,67.24,711.8
0.713,66.96,712.8
0.714,66.68,713.8
0.715,66.4,714.8
0.716,66.13,715.8
0.717,65.85,716.8
0.718,65.58,717.8
0.719,65.3,718.8
0.72,65.03,719.8
0.721,64.76,720.8
0.722,64.48,721.8
0.723,64.21,722.8
0.724,63.94,723.8
0.725,63.67,724.8
0.726,63.4,725.8
0.727,63.14,726.8
0.728,62.87,727.8
0.729,62.6,728.8
0.73,62.34,729.8
0.731,62.07,730.8
0.732,61.81,731.8
0.733,61.54,732.8
0.734,61.28,733.8
0.735,61.02,734.8
0.736,60.76,735.8
0.737,60.49,736.8
0.738,60.23,737.8
0.739,59.97,738.8
0.74,59.72,739.8
0.741,59.46,740.8
0.742,59.2,741.8
0.743,58.94,742.8
0.744,58.69,743.8
0.745,58.43,744.8
0.746,58.18,745.8
0.747,57.92,746.8
0.748,57.67,747.8
0.749,57.42,748.8
0.75,57.17,749.8
0.751,56.92,750.8
0.752,56.66,751.8
0.753,56.42,752.8
0.754,56.17,753.8
0.755,55.92,754.8
0.756,55.67,755.8
0.757,55.42,756.8
0.758,55.18,757.7
0.759,54.93,758.7
0.76,54.68,759.7
0.761,54.44,760.7
0.762,54.2,761.7
0.763,53.95,762.7
0.764,53.71,763.7
0.765,53.47,764.7
0.766,53.23,765.7
0.767,52.99,766.7
0.768,52.74,767.7
0.769,52.51,768.7
0.77,52.27,769.7
0.771,52.03,770.7
0.772,51.79,771.7
0.773,51.55,772.7
0.774,51.32,773.7
0.775,51.08,774.7
0.776,50.85,775.7
0.777,50.61,776.7
0.778,50.38,777.7
0.779,50.14,778.7
0.78,49.91,779.7
0.781,49.68,780.7
0.782,49.45,781.7
0.783,49.22,782.7
0.784,48.98,783.7
0.785,48.75,784.7
0.786,48.53,785.7
0.787,48.3,786.6
0.788,48.07,787.6
0.789,47.84,788.6
0.79,47.61,789.6
0.791,47.39,790.6
0.792,47.16,791.6
0.793,46.94,792.6
0.794,46.71,793.6
0.795,46.49,794.6
0.796,46.26,795.6
0.797,46.04,796.6
0.798,45.82,797.6
0.799,45.6,798.6
0.8,45.38,799.6
0.801,45.15,800.6
0.802,44.93,801.6
0.803,44.71,802.6
0.804,44.5,803.6
0.805,44.28,804.6
0.806,44.06,805.6
0.807,43.84,806.6
0.808,43.62,807.6
0.809,43.41,808.6
0.81,43.19,809.6
0.811,42.98,810.6
0.812,42.76,811.6
0.813,42.55,812.6
0.814,42.33,813.6
0.815,42.12,814.6
0.816,41.91,815.6
0.817,41.69,816.6
0.818,41.48,817.6
0.819,41.27,818.6
0.82,41.06,819.6
0.821,40.85,820.6
0.822,40.64,821.6
0.823,40.43,822.6
0.824,40.22,823.6
0.825,40.02,824.6
0.826,39.81,825.6
0.827,39.6,826.6
0.828,39.39,827.6
0.829,39.19,828.6
0.83,38.98,829.6
0.831,38.78,830.6
0.832,38.57,831.6
0.833,38.37,832.6
0.834,38.16,833.6
0.835,37.96,834.6
0.836,37.76,835.6
0.837,37.56,836.6
0.838,37.35,837.6
0.839,37.15,838.6
0.84,36.95,839.6
0.841,36.75,840.6
0.842,36.55,841.6
0.843,36.35,842.6
0.844,36.15,843.6
0.845,35.96,844.6
0.846,35.76,845.6
0.847,35.56,846.6
0.848,35.36,847.6
0.849,35.17,848.6
0.85,34.97,849.6
0.851,34.77,850.6
0.852,34.58,851.6
0.853,34.39,852.5
0.854,34.19,853.5
0.855,34.0,854.5
0.856,33.8,855.5
0.857,33.61,856.5
0.858,33.42,857.5
0.859,33.23,858.5
0.86,33.03,859.5
0.861,32.84,860.5
0.862,32.65,861.5
0.863,32.46,862.5
0.864,32.27,863.5
0.865,32.08,864.5
0.866,31.89,865.5
0.867,31.71,866.5
0.868,31.52,867.5
0.869,31.33,868.5
0.87,31.14,869.5
0.871,30.96,870.5
0.872,30.77,871.5
0.873,30.58,872.5
0.874,30.4,873.5
0.875,30.21,874.5
0.876,30.03,875.5
0.877,29.85,876.5
0.878,29.66,877.5
0.879,29.48,878.5
0.88,29.3,879.5
0.881,29.11,880.5
0.882,28.93,881.5
0.883,28.75,882.5
0.884,28.57,883.5
0.885,28.39,884.5
0.886,28.21,885.5
0.887,28.03,886.5
0.888,27.85,887.5
0.889,27.67,888.5
0.89,27.49,889.5
0.891,27.31,890.5
0.892,27.13,891.5
0.893,26.95,892.5
0.894,26.78,893.5
0.895,26.6,894.5
0.896,26.42,895.5
0.897,26.25,896.5
0.898,26.07,897.5
0.899,25.9,898.5
0.9,25.72,899.5
0.901,25.55,900.5
0.902,25.37,901.5
0.903,25.2,902.5
0.904,25.03,903.5
0.905,24.85,904.5
0.906,24.68,905.5
0.907,24.51,906.5
0.908,24.34,907.5
0.909,24.17,908.5
0.91,23.99,909.5
0.911,23.82,910.5
0.912,23.65,911.5
0.913,23.48,912.5
0.914,23.31,913.5
0.915,23.14,914.5
0.916,22.98,915.5
0.917,22.81,916.5
0.918,22.64,917.5
0.919,22.47,918.5
0.92,22.3,919.5
0.921,22.14,920.5
0.922,21.97,921.5
