density_15c_kg_per_m3,relative_density_60f,api_gravity_60f
654,0.6541,84.83
655,0.6551,84.49
656,0.6561,84.16
657,0.6571,83.84
658,0.6581,83.51
659,0.6591,83.18
660,0.6601,82.86
661,0.6611,82.53
662,0.6621,82.21
663,0.6631,81.88
664,0.6641,81.56
665,0.6651,81.24
666,0.6661,80.92
667,0.6671,80.6
668,0.6681,80.29
669,0.6691,79.97
670,0.6701,79.65
671,0.6711,79.34
672,0.6721,79.02
673,0.6731,78.71
674,0.6741,78.4
675,0.6751,78.09
676,0.6761,77.78
677,0.6771,77.47
678,0.6781,77.16
679,0.6791,76.85
680,0.6801,76.54
681,0.6811,76.24
682,0.6821,75.93
683,0.6831,75.63
684,0.6842,75.33
685,0.6852,75.02
686,0.6862,74.72
687,0.6872,74.42
688,0.6882,74.12
689,0.6892,73.82
690,0.6902,73.53
691,0.6912,73.23
692,0.6922,72.93
693,0.6932,72.64
694,0.6942,72.34
695,0.6952,72.05
696,0.6962,71.76
697,0.6972,71.46
698,0.6982,71.17
699,0.6992,70.88
700,0.7002,70.59
701,0.7012,70.3
702,0.7022,70.02
703,0.7032,69.73
704,0.7042,69.44
705,0.7052,69.16
706,0.7062,68.87
707,0.7072,68.59
708,0.7082,68.31
709,0.7092,68.02
710,0.7102,67.74
711,0.7112,67.46
712,0.7122,67.18
713,0.7132,66.9
714,0.7142,66.63
715,0.7152,66.35
716,0.7162,66.07
717,0.7172,65.8
718,0.7182,65.52
719,0.7192,65.25
720,0.7202,64.97
721,0.7212,64.7
722,0.7222,64.43
723,0.7232,64.16
724,0.7242,63.89
725,0.7252,63.62
726,0.7262,63.35
727,0.7272,63.08
728,0.7282,62.81
729,0.7292,62.54
730,0.7302,62.28
731,0.7312,62.01
732,0.7322,61.75
733,0.7332,61.48
734,0.7342,61.22
735,0.7352,60.96
736,0.7362,60.7
737,0.7372,60.44
738,0.7382,60.18
739,0.7392,59.92
740,0.7402,59.66
741,0.7412,59.4
742,0.7422,59.14
743,0.7432,58.88
744,0.7442,58.63
745,0.7452,58.37
746,0.7462,58.12
747,0.7472,57.86
748,0.7482,57.61
749,0.7492,57.36
750,0.7502,57.11
751,0.7512,56.85
752,0.7522,56.6
753,0.7532,56.35
754,0.7542,56.1
755,0.7552,55.86
756,0.7562,55.61
757,0.7573,55.36
758,0.7583,55.11
759,0.7593,54.87
