api_gravity_60f,pounds_per_us_gallon_60f,us_gallons_per_pound_60f
0.0,8.962,0.11158
0.1,8.955,0.11166
0.2,8.949,0.11175
0.3,8.942,0.11183
0.4,8.935,0.11192
0.5,8.928,0.112
0.6,8.922,0.11209
0.7,8.915,0.11217
0.8,8.908,0.11226
0.9,8.901,0.11234
1.0,8.895,0.11243
1.1,8.888,0.11251
1.2,8.881,0.1126
1.3,8.874,0.11268
1.4,8.868,0.11277
1.5,8.861,0.11285
1.6,8.854,0.11294
1.7,8.848,0.11302
1.8,8.841,0.11311
1.9,8.835,0.11319
2.0,8.828,0.11328
2.1,8.821,0.11336
2.2,8.815,0.11345
2.3,8.808,0.11353
2.4,8.801,0.11362
2.5,8.795,0.1137
2.6,8.788,0.11379
2.7,8.782,0.11387
2.8,8.775,0.11396
2.9,8.769,0.11404
3.0,8.762,0.11413
3.1,8.756,0.11421
3.2,8.749,0.1143
3.3,8.743,0.11438
3.4,8.736,0.11447
3.5,8.73,0.11455
3.6,8.723,0.11464
3.7,8.717,0.11472
3.8,8.71,0.11481
3.9,8.704,0.11489
4.0,8.697,0.11498
4.1,8.691,0.11506
4.2,8.685,0.11515
4.3,8.678,0.11523
4.4,8.672,0.11532
4.5,8.665,0.1154
4.6,8.659,0.11549
4.7,8.653,0.11557
4.8,8.646,0.11566
4.9,8.64,0.11574
5.0,8.634,0.11583
5.1,8.627,0.11591
5.2,8.621,0.116
5.3,8.615,0.11608
5.4,8.608,0.11617
5.5,8.602,0.11625
5.6,8.596,0.11634
5.7,8.59,0.11642
5.8,8.583,0.11651
5.9,8.577,0.11659
6.0,8.571,0.11668
6.1,8.565,0.11676
6.2,8.558,0.11685
6.3,8.552,0.11693
6.4,8.546,0.11702
6.5,8.54,0.1171
6.6,8.533,0.11719
6.7,8.527,0.11727
6.8,8.521,0.11736
6.9,8.515,0.11744
7.0,8.509,0.11753
7.1,8.503,0.11761
7.2,8.497,0.11769
7.3,8.49,0.11778
7.4,8.484,0.11786
7.5,8.478,0.11795
7.6,8.472,0.11803
7.7,8.466,0.11812
7.8,8.46,0.1182
7.9,8.454,0.11829
8.0,8.448,0.11837
8.1,8.442,0.11846
8.2,8.436,0.11854
8.3,8.43,0.11863
8.4,8.424,0.11871
8.5,8.418,0.1188
8.6,8.412,0.11888
8.7,8.406,0.11897
8.8,8.4,0.11905
8.9,8.394,0.11914
9.0,8.388,0.11922
9.1,8.382,0.11931
9.2,8.376,0.11939
9.3,8.37,0.11948
9.4,8.364,0.11956
9.5,8.358,0.11965
9.6,8.352,0.11973
9.7,8.346,0.11982
9.8,8.34,0.1199
9.9,8.334,0.11999
10.0,8.328,0.12007
10.1,8.322,0.12016
10.2,8.316,0.12024
10.3,8.311,0.12033
10.4,8.305,0.12041
10.5,8.299,0.1205
10.6,8.293,0.12058
10.7,8.287,0.12067
10.8,8.281,0.12075
10.9,8.276,0.12084
11.0,8.27,0.12092
11.1,8.264,0.12101
11.2,8.258,0.12109
11.3,8.252,0.12118
11.4,8.247,0.12126
11.5,8.241,0.12135
11.6,8.235,0.12143
11.7,8.229,0.12152
11.8,8.223,0.1216
11.9,8.218,0.12169
12.0,8.212,0.12177
12.1,8.206,0.12186
12.2,8.201,0.12194
12.3,8.195,0.12203
12.4,8.189,0.12211
12.5,8.183,0.1222
12.6,8.178,0.12228
12.7,8.172,0.12237
12.8,8.166,0.12245
12.9,8.161,0.12254
13.0,8.155,0.12262
13.1,8.149,0.12271
13.2,8.144,0.12279
13.3,8.136,0.12288
13.4,8.133,0.12296
13.5,8.127,0.12305
13.6,8.121,0.12313
13.7,8.116,0.12322
13.8,8.11,0.1233
13.9,8.105,0.12339
14.0,8.099,0.12347
14.1,8.093,0.12356
14.2,8.088,0.12364
14.3,8.082,0.12373
14.4,8.077,0.12381
14.5,8.071,0.1239
14.6,8.066,0.12398
14.7,8.06,0.12407
14.8,8.055,0.12415
14.9,8.049,0.12424
15.0,8.044,0.12432
15.1,8.038,0.12441
15.2,8.033,0.12449
15.3,8.027,0.12458
15.4,8.022,0.12466
15.5,8.016,0.12475
15.6,8.011,0.12483
15.7,8.005,0.12492
15.8,8.0,0.125
15.9,7.994,0.12509
16.0,7.989,0.12517
16.1,7.984,0.12526
16.2,7.978,0.12534
16.3,7.973,0.12543
16.4,7.967,0.12551
16.5,7.962,0.1256
16.6,7.957,0.12568
16.7,7.951,0.12577
16.8,7.946,0.12585
16.9,7.941,0.12594
17.0,7.935,0.12602
17.1,7.93,0.12611
17.2,7.924,0.12619
17.3,7.919,0.12628
17.4,7.914,0.12636
17.5,7.908,0.12645
17.6,7.903,0.12653
17.7,7.898,0.12662
17.8,7.893,0.1267
17.9,7.887,0.12679
18.0,7.882,0.12687
18.1,7.877,0.12696
18.2,7.871,0.12704
18.3,7.866,0.12713
18.4,7.861,0.12721
18.5,7.856,0.1273
18.6,7.85,0.12738
18.7,7.845,0.12747
18.8,7.84,0.12755
18.9,7.835,0.12764
19.0,7.83,0.12772
19.1,7.824,0.12781
19.2,7.819,0.12789
19.3,7.814,0.12798
19.4,7.809,0.12806
19.5,7.804,0.12815
19.6,7.798,0.12823
19.7,7.793,0.12832
19.8,7.788,0.1284
19.9,7.783,0.12849
20.0,7.778,0.12857
20.1,7.773,0.12866
20.2,7.768,0.12874
20.3,7.762,0.12883
20.4,7.757,0.12891
20.5,7.752,0.129
20.6,7.747,0.12908
20.7,7.742,0.12917
20.8,7.737,0.12925
20.9,7.732,0.12934
21.0,7.727,0.12942
21.1,7.722,0.12951
21.2,7.717,0.12959
21.3,7.712,0.12968
21.4,7.707,0.12976
21.5,7.701,0.12985
21.6,7.696,0.12993
21.7,7.691,0.13002
21.8,7.686,0.1301
21.9,7.681,0.13019
22.0,7.676,0.13027
22.1,7.671,0.13036
22.2,7.666,0.13044
22.3,7.661,0.13053
22.4,7.656,0.13061
22.5,7.651,0.1307
22.6,7.646,0.13078
22.7,7.641,0.13087
22.8,7.636,0.13095
22.9,7.632,0.13104
23.0,7.627,0.13112
23.1,7.622,0.13121
23.2,7.617,0.13129
23.3,7.612,0.13137
23.4,7.607,0.13146
23.5,7.602,0.13154
23.6,7.597,0.13163
23.7,7.592,0.13171
23.8,7.587,0.1318
23.9,7.582,0.13188
24.0,7.577,0.13197
