api_gravity_60f,us_gallons_per_long_ton_60f,barrels_per_long_ton_60f
0.0,249.94,5.951
0.1,250.13,5.955
0.2,250.32,5.96
0.3,250.51,5.96433
0.4,250.7,5.969
0.5,250.89,5.974
0.6,251.08,5.978
0.7,251.27,5.983
0.8,251.46,5.987
0.9,251.65,5.992
1.0,251.84,5.996
1.1,252.03,6.001
1.2,252.22,6.005
1.3,252.41,6.01
1.4,252.6,6.014
1.5,252.79,6.019
1.6,252.98,6.023
1.7,253.17,6.028
1.8,253.36,6.032
1.9,253.55,6.037
2.0,253.74,6.041
2.1,253.93,6.046
2.2,254.12,6.051
2.3,254.31,6.055
2.4,254.5,6.06
2.5,254.69,6.064
2.6,254.88,6.069
2.7,255.07,6.073
2.8,255.26,6.078
2.9,255.45,6.082
3.0,255.64,6.087
3.1,255.83,6.091
3.2,256.02,6.096
3.3,256.21,6.1
3.4,256.4,6.105
3.5,256.6,6.109
3.6,256.79,6.114
3.7,256.97,6.118
3.8,257.16,6.123
3.9,257.35,6.128
4.0,257.55,6.132
4.1,257.74,6.137
4.2,257.93,6.141
4.3,258.12,6.146
4.4,258.31,6.15
4.5,258.5,6.155
4.6,258.69,6.159
4.7,258.88,6.164
4.8,259.07,6.168
4.9,259.26,6.173
5.0,259.45,6.177
5.1,259.64,6.182
5.2,259.83,6.186
5.3,260.02,6.191
5.4,260.21,6.196
5.5,260.4,6.2
5.6,260.59,6.205
5.7,260.78,6.209
5.8,260.97,6.214
5.9,261.16,6.218
6.0,261.35,6.223
6.1,261.54,6.227
6.2,261.73,6.232
6.3,261.92,6.236
6.4,262.11,6.241
6.5,262.3,6.245
6.6,262.49,6.25
6.7,262.69,6.254
6.8,262.88,6.259
6.9,263.07,6.263
7.0,263.26,6.268
7.1,263.45,6.273
7.2,263.64,6.277
7.3,263.83,6.282
7.4,264.02,6.286
7.5,264.21,6.291
7.6,264.4,6.295
7.7,264.59,6.3
7.8,264.78,6.304
7.9,264.97,6.309
8.0,265.16,6.313
8.1,265.35,6.318
8.2,265.54,6.322
8.3,265.73,6.327
8.4,265.92,6.331
8.5,266.11,6.336
8.6,266.3,6.341
8.7,266.49,6.345
8.8,266.68,6.35
8.9,266.87,6.354
9.0,267.06,6.359
9.1,267.25,6.363
9.2,267.44,6.368
9.3,267.63,6.372
9.4,267.82,6.377
9.5,268.01,6.381
9.6,268.2,6.386
9.7,268.39,6.39
9.8,268.58,6.395
9.9,268.78,6.399
10.0,268.97,6.404
10.1,269.16,6.408
10.2,269.35,6.413
10.3,269.54,6.418
10.4,269.73,6.422
10.5,269.92,6.427
10.6,270.11,6.431
10.7,270.3,6.436
10.8,270.49,6.44
10.9,270.68,6.445
11.0,270.87,6.449
11.1,271.06,6.454
11.2,271.25,6.458
11.3,271.44,6.463
11.4,271.63,6.467
11.5,271.82,6.472
11.6,272.01,6.476
11.7,272.2,6.481
11.8,272.39,6.486
11.9,272.58,6.49
12.0,272.77,6.495
12.1,272.96,6.499
12.2,273.15,6.504
12.3,273.34,6.508
12.4,273.53,6.513
12.5,273.72,6.517
12.6,273.91,6.522
12.7,274.1,6.526
12.8,274.29,6.531
12.9,274.48,6.535
13.0,274.67,6.54
