api_gravity_60f,us_gallons_per_short_ton_60f,barrels_per_short_ton_60f
0.0,223.16,5.313
0.1,223.33,5.317
0.2,223.5,5.321
0.3,223.67,5.325
0.4,223.84,5.329
0.5,224.01,5.333
0.6,224.18,5.338
0.7,224.35,5.342
0.8,224.52,5.346
0.9,224.69,5.35
1.0,224.86,5.354
1.1,225.03,5.358
1.2,225.2,5.362
1.3,225.37,5.366
1.4,225.54,5.37
1.5,225.71,5.374
1.6,225.88,5.378
1.7,226.05,5.382
1.8,226.21,5.386
1.9,226.38,5.39
2.0,226.55,5.394
2.1,226.72,5.398
2.2,226.89,5.402
2.3,227.06,5.406
2.4,227.23,5.41
2.5,227.4,5.414
2.6,227.57,5.418
2.7,227.74,5.422
2.8,227.91,5.427
2.9,228.08,5.431
3.0,228.25,5.435
3.1,228.42,5.439
3.2,228.59,5.443
3.3,228.76,5.447
3.4,228.93,5.451
3.5,229.1,5.455
3.6,229.27,5.459
3.7,229.44,5.463
3.8,229.61,5.467
3.9,229.78,5.471
4.0,229.95,5.475
4.1,230.12,5.479
4.2,230.29,5.483
4.3,230.46,5.487
4.4,230.63,5.491
4.5,230.8,5.495
4.6,230.97,5.499
4.7,231.14,5.503
4.8,231.31,5.507
4.9,231.48,5.511
5.0,231.65,5.516
5.1,231.82,5.52
5.2,231.99,5.524
5.3,232.16,5.528
5.4,232.33,5.532
5.5,232.5,5.536
5.6,232.67,5.54
5.7,232.84,5.544
5.8,233.01,5.548
5.9,233.18,5.552
6.0,233.35,5.556
6.1,233.52,5.56
6.2,233.69,5.564
6.3,233.86,5.568
6.4,234.03,5.572
6.5,234.2,5.576
6.6,234.37,5.58
6.7,234.54,5.584
6.8,234.71,5.588
6.9,234.88,5.592
7.0,235.05,5.596
7.1,235.22,5.6
7.2,235.39,5.605
7.3,235.56,5.609
7.4,235.73,5.613
7.5,235.9,5.617
7.6,236.07,5.621
7.7,236.24,5.625
7.8,236.41,5.629
7.9,236.58,5.633
8.0,236.75,5.637
8.1,236.92,5.641
8.2,237.09,5.645
8.3,237.26,5.649
8.4,237.43,5.653
8.5,237.6,5.657
8.6,237.77,5.661
8.7,237.94,5.665
8.8,238.11,5.669
8.9,238.28,5.673
9.0,238.45,5.677
9.1,238.62,5.681
9.2,238.79,5.685
9.3,238.96,5.689
9.4,239.13,5.694
9.5,239.3,5.698
9.6,239.47,5.702
9.7,239.64,5.706
9.8,239.81,5.71
9.9,239.98,5.714
10.0,240.15,5.718
10.1,240.32,5.722
10.2,240.49,5.726
10.3,240.66,5.73
10.4,240.83,5.734
10.5,241.0,5.738
10.6,241.17,5.742
10.7,241.34,5.746
10.8,241.51,5.75
10.9,241.68,5.754
11.0,241.85,5.758
11.1,242.02,5.762
11.2,242.19,5.766
11.3,242.36,5.77
11.4,242.53,5.774
11.5,242.7,5.778
11.6,242.87,5.783
11.7,243.04,5.787
11.8,243.21,5.791
11.9,243.38,5.795
12.0,243.55,5.799
12.1,243.72,5.803
12.2,243.89,5.807
12.3,244.06,5.811
12.4,244.23,5.815
12.5,244.4,5.819
12.6,244.57,5.823
12.7,244.74,5.827
12.8,244.91,5.831
12.9,245.08,5.835
13.0,245.25,5.839
13.1,245.42,5.843
13.2,245.59,5.847
13.3,245.76,5.851
13.4,245.93,5.855
13.5,246.1,5.859
13.6,246.27,5.863
13.7,246.44,5.868
13.8,246.6,5.872
13.9,246.77,5.876
14.0,246.94,5.88
14.1,247.11,5.884
14.2,247.28,5.888
14.3,247.45,5.892
14.4,247.62,5.896
14.5,247.79,5.9
14.6,247.96,5.904
14.7,248.13,5.908
14.8,248.3,5.912
14.9,248.47,5.916
15.0,248.64,5.92
15.1,248.81,5.924
15.2,248.98,5.928
15.3,249.15,5.932
15.4,249.32,5.936
15.5,249.49,5.94
15.6,249.66,5.944
15.7,249.83,5.948
15.8,250.0,5.952
15.9,250.17,5.957
16.0,250.34,5.961
16.1,250.51,5.965
16.2,250.68,5.969
16.3,250.85,5.973
16.4,251.02,5.977
16.5,251.19,5.981
16.6,251.36,5.985
16.7,251.53,5.989
16.8,251.7,5.993
16.9,251.87,5.997
17.0,252.04,6.001
17.1,252.21,6.005
17.2,252.38,6.009
17.3,252.55,6.013
17.4,252.72,6.017
17.5,252.89,6.021
17.6,253.06,6.025
17.7,253.23,6.029
17.8,253.4,6.033
17.9,253.57,6.037
18.0,253.74,6.041
18.1,253.91,6.046
18.2,254.08,6.05
18.3,254.25,6.054
18.4,254.42,6.058
18.5,254.59,6.062
18.6,254.76,6.066
18.7,254.93,6.07
18.8,255.1,6.074
18.9,255.27,6.078
19.0,255.44,6.082
19.1,255.61,6.086
19.2,255.78,6.09
19.3,255.95,6.094
19.4,256.12,6.098
19.5,256.29,6.102
19.6,256.46,6.106
19.7,256.63,6.11
19.8,256.8,6.114
19.9,256.97,6.118
20.0,257.14,6.122
20.1,257.31,6.126
20.2,257.48,6.131
20.3,257.65,6.135
20.4,257.82,6.139
20.5,257.99,6.143
20.6,258.16,6.147
20.7,258.33,6.151
20.8,258.5,6.155
20.9,258.67,6.159
21.0,258.84,6.163
21.1,259.01,6.167
21.2,259.18,6.171
21.3,259.35,6.175
21.4,259.52,6.179
21.5,259.69,6.183
21.6,259.86,6.187
21.7,260.03,6.191
21.8,260.2,6.195
21.9,260.37,6.199
22.0,260.54,6.203
22.1,260.71,6.207
22.2,260.88,6.211
22.3,261.05,6.215
22.4,261.22,6.22
22.5,261.39,6.224
22.6,261.56,6.228
22.7,261.73,6.232
22.8,261.9,6.236
22.9,262.07,6.24
23.0,262.24,6.244
23.1,262.41,6.248
23.2,262.58,6.252
23.3,262.75,6.256
23.4,262.92,6.26
23.5,263.09,6.264
23.6,263.26,6.268
23.7,263.43,6.272
23.8,263.6,6.276
23.9,263.77,6.28
24.0,263.94,6.284
24.1,264.11,6.288
24.2,264.28,6.292
24.3,264.45,6.296
24.4,264.62,6.3
24.5,264.79,6.305
24.6,264.96,6.309
24.7,265.13,6.313
24.8,265.3,6.317
24.9,265.47,6.321
25.0,265.64,6.325
25.1,265.81,6.329
25.2,265.98,6.333
25.3,266.15,6.337
25.4,266.32,6.341
25.5,266.49,6.345
25.6,266.66,6.349
25.7,266.83,6.353
25.8,267.0,6.357
25.9,267.17,6.361
26.0,267.34,6.365
26.1,267.51,6.369
26.2,267.68,6.373
26.3,267.85,6.377
26.4,268.02,6.381
26.5,268.19,6.385
26.6,268.36,6.389
26.7,268.53,6.394
26.8,268.7,6.398
26.9,268.87,6.402
27.0,269.04,6.406
27.1,269.21,6.41
27.2,269.38,6.414
27.3,269.55,6.418
27.4,269.72,6.422
27.5,269.89,6.426
27.6,270.06,6.43
27.7,270.23,6.434
27.8,270.4,6.438
27.9,270.57,6.442
28.0,270.74,6.446
28.1,270.91,6.45
28.2,271.08,6.454
28.3,271.25,6.458
28.4,271.42,6.462
28.5,271.59,6.466
28.6,271.76,6.47
28.7,271.93,6.474
28.8,272.1,6.479
28.9,272.27,6.483
29.0,272.44,6.487
29.1,272.61,6.491
29.2,272.78,6.495
29.3,272.95,6.499
29.4,273.12,6.503
29.5,273.29,6.507
29.6,273.46,6.511
29.7,273.63,6.515
29.8,273.8,6.519
29.9,273.97,6.523
30.0,274.14,6.527
30.1,274.31,6.531
30.2,274.48,6.535
30.3,274.65,6.539
30.4,274.82,6.543
30.5,274.99,6.547
30.6,275.16,6.551
30.7,275.33,6.555
